epi_week,state,loc,loc_type,disease,cases,incidence_per_100000
193001,WA,WASHINGTON,STATE,MEASLES,77,4.91
193003,WA,WASHINGTON,STATE,MEASLES,73,4.66
193004,WA,WASHINGTON,STATE,MEASLES,123,7.84
193005,WA,WASHINGTON,STATE,MEASLES,149,9.5
193006,WA,WASHINGTON,STATE,MEASLES,312,19.9
193007,WA,WASHINGTON,STATE,MEASLES,209,13.33
193008,WA,WASHINGTON,STATE,MEASLES,193,12.31
193009,WA,WASHINGTON,STATE,MEASLES,248,15.82
193010,WA,WASHINGTON,STATE,MEASLES,243,15.5
193011,WA,WASHINGTON,STATE,MEASLES,252,16.07
193012,WA,WASHINGTON,STATE,MEASLES,269,17.16
193013,WA,WASHINGTON,STATE,MEASLES,282,17.98
193014,WA,WASHINGTON,STATE,MEASLES,446,28.44
193015,WA,WASHINGTON,STATE,MEASLES,281,17.92
193016,WA,WASHINGTON,STATE,MEASLES,526,33.55
193017,WA,WASHINGTON,STATE,MEASLES,463,29.53
193018,WA,WASHINGTON,STATE,MEASLES,547,34.89
193019,WA,WASHINGTON,STATE,MEASLES,518,33.04
193020,WA,WASHINGTON,STATE,MEASLES,579,36.93
193021,WA,WASHINGTON,STATE,MEASLES,743,47.39
193022,WA,WASHINGTON,STATE,MEASLES,602,38.39
193023,WA,WASHINGTON,STATE,MEASLES,727,46.36
193024,WA,WASHINGTON,STATE,MEASLES,516,32.91
193025,WA,WASHINGTON,STATE,MEASLES,383,24.43
193026,WA,WASHINGTON,STATE,MEASLES,250,15.94
193027,WA,WASHINGTON,STATE,MEASLES,173,11.03
193028,WA,WASHINGTON,STATE,MEASLES,192,12.24
193029,WA,WASHINGTON,STATE,MEASLES,109,6.95
193030,WA,WASHINGTON,STATE,MEASLES,63,4.02
193031,WA,WASHINGTON,STATE,MEASLES,40,2.55
193032,WA,WASHINGTON,STATE,MEASLES,20,1.28
193033,WA,WASHINGTON,STATE,MEASLES,26,1.66
193034,WA,WASHINGTON,STATE,MEASLES,21,1.34
193035,WA,WASHINGTON,STATE,MEASLES,6,0.38
193036,WA,WASHINGTON,STATE,MEASLES,27,1.72
193037,WA,WASHINGTON,STATE,MEASLES,10,0.64
193038,WA,WASHINGTON,STATE,MEASLES,6,0.38
193039,WA,WASHINGTON,STATE,MEASLES,4,0.26
193040,WA,WASHINGTON,STATE,MEASLES,11,0.7
193041,WA,WASHINGTON,STATE,MEASLES,2,0.13
193042,WA,WASHINGTON,STATE,MEASLES,6,0.38
193043,WA,WASHINGTON,STATE,MEASLES,3,0.19
193044,WA,WASHINGTON,STATE,MEASLES,8,0.51
193045,WA,WASHINGTON,STATE,MEASLES,5,0.32
193046,WA,WASHINGTON,STATE,MEASLES,10,0.64
193047,WA,WASHINGTON,STATE,MEASLES,33,2.1
193048,WA,WASHINGTON,STATE,MEASLES,6,0.38
193049,WA,WASHINGTON,STATE,MEASLES,17,1.08
193050,WA,WASHINGTON,STATE,MEASLES,22,1.4
193051,WA,WASHINGTON,STATE,MEASLES,20,1.28
193052,WA,WASHINGTON,STATE,MEASLES,6,0.38
193101,WA,WASHINGTON,STATE,MEASLES,39,2.47
193102,WA,WASHINGTON,STATE,MEASLES,76,4.81
193103,WA,WASHINGTON,STATE,MEASLES,62,3.92
193104,WA,WASHINGTON,STATE,MEASLES,67,4.24
193105,WA,WASHINGTON,STATE,MEASLES,67,4.24
193106,WA,WASHINGTON,STATE,MEASLES,50,3.16
193107,WA,WASHINGTON,STATE,MEASLES,50,3.16
193108,WA,WASHINGTON,STATE,MEASLES,44,2.78
193109,WA,WASHINGTON,STATE,MEASLES,44,2.78
193110,WA,WASHINGTON,STATE,MEASLES,51,3.23
193111,WA,WASHINGTON,STATE,MEASLES,40,2.53
193112,WA,WASHINGTON,STATE,MEASLES,46,2.91
193113,WA,WASHINGTON,STATE,MEASLES,56,3.54
193114,WA,WASHINGTON,STATE,MEASLES,35,2.21
193115,WA,WASHINGTON,STATE,MEASLES,55,3.48
193116,WA,WASHINGTON,STATE,MEASLES,30,1.9
193117,WA,WASHINGTON,STATE,MEASLES,118,7.46
193118,WA,WASHINGTON,STATE,MEASLES,165,10.44
193119,WA,WASHINGTON,STATE,MEASLES,108,6.83
193120,WA,WASHINGTON,STATE,MEASLES,405,25.62
193121,WA,WASHINGTON,STATE,MEASLES,281,17.77
193122,WA,WASHINGTON,STATE,MEASLES,132,8.35
193123,WA,WASHINGTON,STATE,MEASLES,74,4.68
193124,WA,WASHINGTON,STATE,MEASLES,98,6.2
193125,WA,WASHINGTON,STATE,MEASLES,36,2.28
193126,WA,WASHINGTON,STATE,MEASLES,46,2.91
193127,WA,WASHINGTON,STATE,MEASLES,52,3.29
193128,WA,WASHINGTON,STATE,MEASLES,9,0.57
193129,WA,WASHINGTON,STATE,MEASLES,14,0.89
193130,WA,WASHINGTON,STATE,MEASLES,14,0.89
193131,WA,WASHINGTON,STATE,MEASLES,6,0.38
193132,WA,WASHINGTON,STATE,MEASLES,8,0.51
193133,WA,WASHINGTON,STATE,MEASLES,6,0.38
193134,WA,WASHINGTON,STATE,MEASLES,4,0.25
193135,WA,WASHINGTON,STATE,MEASLES,9,0.57
193136,WA,WASHINGTON,STATE,MEASLES,2,0.13
193137,WA,WASHINGTON,STATE,MEASLES,6,0.38
193138,WA,WASHINGTON,STATE,MEASLES,8,0.51
193139,WA,WASHINGTON,STATE,MEASLES,7,0.44
193140,WA,WASHINGTON,STATE,MEASLES,7,0.44
193141,WA,WASHINGTON,STATE,MEASLES,11,0.7
193143,WA,WASHINGTON,STATE,MEASLES,30,1.9
193144,WA,WASHINGTON,STATE,MEASLES,38,2.4
193145,WA,WASHINGTON,STATE,MEASLES,26,1.64
193146,WA,WASHINGTON,STATE,MEASLES,28,1.77
193147,WA,WASHINGTON,STATE,MEASLES,31,1.96
193148,WA,WASHINGTON,STATE,MEASLES,37,2.34
193149,WA,WASHINGTON,STATE,MEASLES,57,3.61
193150,WA,WASHINGTON,STATE,MEASLES,100,6.33
193151,WA,WASHINGTON,STATE,MEASLES,149,9.42
193152,WA,WASHINGTON,STATE,MEASLES,187,11.83
193201,WA,WASHINGTON,STATE,MEASLES,372,23.48
193202,WA,WASHINGTON,STATE,MEASLES,223,14.08
193203,WA,WASHINGTON,STATE,MEASLES,443,27.97
193204,WA,WASHINGTON,STATE,MEASLES,383,24.18
193205,WA,WASHINGTON,STATE,MEASLES,514,32.45
193206,WA,WASHINGTON,STATE,MEASLES,488,30.81
193207,WA,WASHINGTON,STATE,MEASLES,480,30.3
193208,WA,WASHINGTON,STATE,MEASLES,583,36.81
193209,WA,WASHINGTON,STATE,MEASLES,682,43.06
193210,WA,WASHINGTON,STATE,MEASLES,549,34.66
193211,WA,WASHINGTON,STATE,MEASLES,623,39.33
193212,WA,WASHINGTON,STATE,MEASLES,649,40.97
193213,WA,WASHINGTON,STATE,MEASLES,523,33.02
193214,WA,WASHINGTON,STATE,MEASLES,513,32.39
193215,WA,WASHINGTON,STATE,MEASLES,341,21.53
193216,WA,WASHINGTON,STATE,MEASLES,342,21.59
193217,WA,WASHINGTON,STATE,MEASLES,258,16.29
193218,WA,WASHINGTON,STATE,MEASLES,309,19.51
193219,WA,WASHINGTON,STATE,MEASLES,258,16.29
193220,WA,WASHINGTON,STATE,MEASLES,223,14.08
193221,WA,WASHINGTON,STATE,MEASLES,232,14.65
193222,WA,WASHINGTON,STATE,MEASLES,183,11.55
193223,WA,WASHINGTON,STATE,MEASLES,254,16.04
193224,WA,WASHINGTON,STATE,MEASLES,101,6.38
193225,WA,WASHINGTON,STATE,MEASLES,133,8.4
193226,WA,WASHINGTON,STATE,MEASLES,86,5.43
193227,WA,WASHINGTON,STATE,MEASLES,77,4.86
193228,WA,WASHINGTON,STATE,MEASLES,45,2.84
193229,WA,WASHINGTON,STATE,MEASLES,30,1.89
193230,WA,WASHINGTON,STATE,MEASLES,8,0.51
193231,WA,WASHINGTON,STATE,MEASLES,14,0.88
193232,WA,WASHINGTON,STATE,MEASLES,3,0.19
193233,WA,WASHINGTON,STATE,MEASLES,10,0.63
193234,WA,WASHINGTON,STATE,MEASLES,4,0.25
193235,WA,WASHINGTON,STATE,MEASLES,7,0.44
193236,WA,WASHINGTON,STATE,MEASLES,5,0.32
193237,WA,WASHINGTON,STATE,MEASLES,6,0.38
193238,WA,WASHINGTON,STATE,MEASLES,7,0.44
193239,WA,WASHINGTON,STATE,MEASLES,6,0.38
193240,WA,WASHINGTON,STATE,MEASLES,2,0.13
193241,WA,WASHINGTON,STATE,MEASLES,3,0.19
193242,WA,WASHINGTON,STATE,MEASLES,2,0.13
193243,WA,WASHINGTON,STATE,MEASLES,5,0.32
193245,WA,WASHINGTON,STATE,MEASLES,10,0.63
193246,WA,WASHINGTON,STATE,MEASLES,4,0.25
193248,WA,WASHINGTON,STATE,MEASLES,3,0.19
193249,WA,WASHINGTON,STATE,MEASLES,3,0.19
193250,WA,WASHINGTON,STATE,MEASLES,5,0.32
193251,WA,WASHINGTON,STATE,MEASLES,3,0.19
193252,WA,WASHINGTON,STATE,MEASLES,2,0.13
193301,WA,WASHINGTON,STATE,MEASLES,1,0.06
193302,WA,WASHINGTON,STATE,MEASLES,3,0.19
193303,WA,WASHINGTON,STATE,MEASLES,3,0.19
193304,WA,WASHINGTON,STATE,MEASLES,2,0.13
193305,WA,WASHINGTON,STATE,MEASLES,9,0.57
193306,WA,WASHINGTON,STATE,MEASLES,25,1.57
193307,WA,WASHINGTON,STATE,MEASLES,6,0.38
193308,WA,WASHINGTON,STATE,MEASLES,31,1.95
193309,WA,WASHINGTON,STATE,MEASLES,32,2.01
193310,WA,WASHINGTON,STATE,MEASLES,3,0.19
193311,WA,WASHINGTON,STATE,MEASLES,51,3.2
193312,WA,WASHINGTON,STATE,MEASLES,37,2.32
193313,WA,WASHINGTON,STATE,MEASLES,64,4.02
193314,WA,WASHINGTON,STATE,MEASLES,45,2.83
193315,WA,WASHINGTON,STATE,MEASLES,43,2.7
193316,WA,WASHINGTON,STATE,MEASLES,55,3.45
193317,WA,WASHINGTON,STATE,MEASLES,93,5.84
193318,WA,WASHINGTON,STATE,MEASLES,96,6.03
193319,WA,WASHINGTON,STATE,MEASLES,65,4.08
193320,WA,WASHINGTON,STATE,MEASLES,84,5.28
193321,WA,WASHINGTON,STATE,MEASLES,64,4.02
193322,WA,WASHINGTON,STATE,MEASLES,57,3.58
193324,WA,WASHINGTON,STATE,MEASLES,83,5.21
193325,WA,WASHINGTON,STATE,MEASLES,42,2.64
193326,WA,WASHINGTON,STATE,MEASLES,67,4.21
193327,WA,WASHINGTON,STATE,MEASLES,32,2.01
193328,WA,WASHINGTON,STATE,MEASLES,56,3.52
193329,WA,WASHINGTON,STATE,MEASLES,27,1.7
193330,WA,WASHINGTON,STATE,MEASLES,25,1.57
193331,WA,WASHINGTON,STATE,MEASLES,19,1.19
193332,WA,WASHINGTON,STATE,MEASLES,15,0.94
193333,WA,WASHINGTON,STATE,MEASLES,11,0.69
193334,WA,WASHINGTON,STATE,MEASLES,8,0.5
193335,WA,WASHINGTON,STATE,MEASLES,5,0.31
193336,WA,WASHINGTON,STATE,MEASLES,4,0.25
193337,WA,WASHINGTON,STATE,MEASLES,11,0.69
193338,WA,WASHINGTON,STATE,MEASLES,45,2.83
193339,WA,WASHINGTON,STATE,MEASLES,30,1.88
193340,WA,WASHINGTON,STATE,MEASLES,42,2.64
193341,WA,WASHINGTON,STATE,MEASLES,18,1.13
193342,WA,WASHINGTON,STATE,MEASLES,12,0.75
193343,WA,WASHINGTON,STATE,MEASLES,12,0.75
193344,WA,WASHINGTON,STATE,MEASLES,44,2.76
193345,WA,WASHINGTON,STATE,MEASLES,34,2.14
193346,WA,WASHINGTON,STATE,MEASLES,55,3.45
193347,WA,WASHINGTON,STATE,MEASLES,52,3.27
193348,WA,WASHINGTON,STATE,MEASLES,113,7.1
193349,WA,WASHINGTON,STATE,MEASLES,111,6.97
193350,WA,WASHINGTON,STATE,MEASLES,219,13.76
193351,WA,WASHINGTON,STATE,MEASLES,219,13.76
193352,WA,WASHINGTON,STATE,MEASLES,201,12.63
193401,WA,WASHINGTON,STATE,MEASLES,284,17.64
193402,WA,WASHINGTON,STATE,MEASLES,400,24.84
193403,WA,WASHINGTON,STATE,MEASLES,355,22.05
193404,WA,WASHINGTON,STATE,MEASLES,425,26.4
193405,WA,WASHINGTON,STATE,MEASLES,399,24.78
193406,WA,WASHINGTON,STATE,MEASLES,765,47.52
193407,WA,WASHINGTON,STATE,MEASLES,268,16.65
193408,WA,WASHINGTON,STATE,MEASLES,200,12.42
193409,WA,WASHINGTON,STATE,MEASLES,189,11.74
193410,WA,WASHINGTON,STATE,MEASLES,173,10.75
193411,WA,WASHINGTON,STATE,MEASLES,155,9.63
193412,WA,WASHINGTON,STATE,MEASLES,196,12.17
193413,WA,WASHINGTON,STATE,MEASLES,173,10.75
193414,WA,WASHINGTON,STATE,MEASLES,153,9.5
193415,WA,WASHINGTON,STATE,MEASLES,121,7.52
193416,WA,WASHINGTON,STATE,MEASLES,196,12.17
193417,WA,WASHINGTON,STATE,MEASLES,167,10.37
193418,WA,WASHINGTON,STATE,MEASLES,240,14.91
193419,WA,WASHINGTON,STATE,MEASLES,197,12.24
193420,WA,WASHINGTON,STATE,MEASLES,132,8.2
193422,WA,WASHINGTON,STATE,MEASLES,192,11.93
193423,WA,WASHINGTON,STATE,MEASLES,283,17.58
193424,WA,WASHINGTON,STATE,MEASLES,202,12.55
193425,WA,WASHINGTON,STATE,MEASLES,198,12.3
193426,WA,WASHINGTON,STATE,MEASLES,124,7.7
193427,WA,WASHINGTON,STATE,MEASLES,69,4.29
193428,WA,WASHINGTON,STATE,MEASLES,45,2.8
193429,WA,WASHINGTON,STATE,MEASLES,36,2.24
193430,WA,WASHINGTON,STATE,MEASLES,31,1.93
193431,WA,WASHINGTON,STATE,MEASLES,18,1.12
193432,WA,WASHINGTON,STATE,MEASLES,12,0.75
193433,WA,WASHINGTON,STATE,MEASLES,19,1.18
193434,WA,WASHINGTON,STATE,MEASLES,6,0.37
193435,WA,WASHINGTON,STATE,MEASLES,6,0.37
193436,WA,WASHINGTON,STATE,MEASLES,18,1.12
193437,WA,WASHINGTON,STATE,MEASLES,23,1.43
193438,WA,WASHINGTON,STATE,MEASLES,15,0.93
193439,WA,WASHINGTON,STATE,MEASLES,40,2.48
193440,WA,WASHINGTON,STATE,MEASLES,62,3.85
193441,WA,WASHINGTON,STATE,MEASLES,67,4.16
193442,WA,WASHINGTON,STATE,MEASLES,162,10.06
193443,WA,WASHINGTON,STATE,MEASLES,106,6.58
193444,WA,WASHINGTON,STATE,MEASLES,81,5.03
193445,WA,WASHINGTON,STATE,MEASLES,99,6.15
193446,WA,WASHINGTON,STATE,MEASLES,104,6.46
193447,WA,WASHINGTON,STATE,MEASLES,31,1.93
193448,WA,WASHINGTON,STATE,MEASLES,131,8.14
193449,WA,WASHINGTON,STATE,MEASLES,75,4.66
193450,WA,WASHINGTON,STATE,MEASLES,37,2.3
193451,WA,WASHINGTON,STATE,MEASLES,79,4.91
193452,WA,WASHINGTON,STATE,MEASLES,69,4.29
193501,WA,WASHINGTON,STATE,MEASLES,44,2.7
193502,WA,WASHINGTON,STATE,MEASLES,58,3.56
193503,WA,WASHINGTON,STATE,MEASLES,110,6.75
193504,WA,WASHINGTON,STATE,MEASLES,94,5.77
193505,WA,WASHINGTON,STATE,MEASLES,146,8.96
193506,WA,WASHINGTON,STATE,MEASLES,107,6.57
193507,WA,WASHINGTON,STATE,MEASLES,349,21.42
193508,WA,WASHINGTON,STATE,MEASLES,130,7.98
193509,WA,WASHINGTON,STATE,MEASLES,132,8.1
193510,WA,WASHINGTON,STATE,MEASLES,207,12.71
193511,WA,WASHINGTON,STATE,MEASLES,221,13.57
193512,WA,WASHINGTON,STATE,MEASLES,203,12.46
193513,WA,WASHINGTON,STATE,MEASLES,190,11.66
193514,WA,WASHINGTON,STATE,MEASLES,262,16.08
193515,WA,WASHINGTON,STATE,MEASLES,228,14
193516,WA,WASHINGTON,STATE,MEASLES,342,20.99
193517,WA,WASHINGTON,STATE,MEASLES,550,33.76
193518,WA,WASHINGTON,STATE,MEASLES,439,26.95
193519,WA,WASHINGTON,STATE,MEASLES,436,26.76
193520,WA,WASHINGTON,STATE,MEASLES,524,32.17
193521,WA,WASHINGTON,STATE,MEASLES,286,17.56
193522,WA,WASHINGTON,STATE,MEASLES,461,28.3
193523,WA,WASHINGTON,STATE,MEASLES,347,21.3
193524,WA,WASHINGTON,STATE,MEASLES,365,22.41
193525,WA,WASHINGTON,STATE,MEASLES,269,16.51
193526,WA,WASHINGTON,STATE,MEASLES,239,14.67
193527,WA,WASHINGTON,STATE,MEASLES,103,6.32
193528,WA,WASHINGTON,STATE,MEASLES,116,7.12
193529,WA,WASHINGTON,STATE,MEASLES,75,4.6
193530,WA,WASHINGTON,STATE,MEASLES,60,3.68
193531,WA,WASHINGTON,STATE,MEASLES,27,1.66
193532,WA,WASHINGTON,STATE,MEASLES,26,1.6
193533,WA,WASHINGTON,STATE,MEASLES,19,1.17
193534,WA,WASHINGTON,STATE,MEASLES,17,1.04
193535,WA,WASHINGTON,STATE,MEASLES,5,0.31
193536,WA,WASHINGTON,STATE,MEASLES,13,0.8
193537,WA,WASHINGTON,STATE,MEASLES,11,0.68
193538,WA,WASHINGTON,STATE,MEASLES,6,0.37
193539,WA,WASHINGTON,STATE,MEASLES,13,0.8
193540,WA,WASHINGTON,STATE,MEASLES,34,2.09
193541,WA,WASHINGTON,STATE,MEASLES,50,3.07
193542,WA,WASHINGTON,STATE,MEASLES,53,3.25
193543,WA,WASHINGTON,STATE,MEASLES,88,5.4
193544,WA,WASHINGTON,STATE,MEASLES,34,2.09
193545,WA,WASHINGTON,STATE,MEASLES,49,3.01
193546,WA,WASHINGTON,STATE,MEASLES,92,5.65
193547,WA,WASHINGTON,STATE,MEASLES,87,5.34
193548,WA,WASHINGTON,STATE,MEASLES,125,7.67
193549,WA,WASHINGTON,STATE,MEASLES,128,7.86
193550,WA,WASHINGTON,STATE,MEASLES,259,15.9
193551,WA,WASHINGTON,STATE,MEASLES,157,9.64
193552,WA,WASHINGTON,STATE,MEASLES,174,10.68
193601,WA,WASHINGTON,STATE,MEASLES,79,4.78
193602,WA,WASHINGTON,STATE,MEASLES,338,20.45
193603,WA,WASHINGTON,STATE,MEASLES,112,6.78
193604,WA,WASHINGTON,STATE,MEASLES,193,11.68
193605,WA,WASHINGTON,STATE,MEASLES,193,11.68
193606,WA,WASHINGTON,STATE,MEASLES,182,11.01
193607,WA,WASHINGTON,STATE,MEASLES,174,10.53
193608,WA,WASHINGTON,STATE,MEASLES,236,14.28
193609,WA,WASHINGTON,STATE,MEASLES,261,15.79
193610,WA,WASHINGTON,STATE,MEASLES,329,19.9
193611,WA,WASHINGTON,STATE,MEASLES,257,15.55
193612,WA,WASHINGTON,STATE,MEASLES,278,16.82
193613,WA,WASHINGTON,STATE,MEASLES,293,17.73
193614,WA,WASHINGTON,STATE,MEASLES,362,21.9
193615,WA,WASHINGTON,STATE,MEASLES,378,22.87
193616,WA,WASHINGTON,STATE,MEASLES,451,27.28
193617,WA,WASHINGTON,STATE,MEASLES,327,19.78
193618,WA,WASHINGTON,STATE,MEASLES,399,24.14
193619,WA,WASHINGTON,STATE,MEASLES,330,19.96
193620,WA,WASHINGTON,STATE,MEASLES,414,25.05
193621,WA,WASHINGTON,STATE,MEASLES,437,26.44
193622,WA,WASHINGTON,STATE,MEASLES,339,20.51
193623,WA,WASHINGTON,STATE,MEASLES,299,18.09
193624,WA,WASHINGTON,STATE,MEASLES,199,12.04
193625,WA,WASHINGTON,STATE,MEASLES,178,10.77
193626,WA,WASHINGTON,STATE,MEASLES,133,8.05
193627,WA,WASHINGTON,STATE,MEASLES,97,5.87
193628,WA,WASHINGTON,STATE,MEASLES,92,5.57
193629,WA,WASHINGTON,STATE,MEASLES,36,2.18
193630,WA,WASHINGTON,STATE,MEASLES,52,3.15
193631,WA,WASHINGTON,STATE,MEASLES,22,1.33
193632,WA,WASHINGTON,STATE,MEASLES,20,1.21
193633,WA,WASHINGTON,STATE,MEASLES,6,0.36
193634,WA,WASHINGTON,STATE,MEASLES,13,0.79
193635,WA,WASHINGTON,STATE,MEASLES,4,0.24
193636,WA,WASHINGTON,STATE,MEASLES,4,0.24
193637,WA,WASHINGTON,STATE,MEASLES,18,1.09
193638,WA,WASHINGTON,STATE,MEASLES,11,0.67
193639,WA,WASHINGTON,STATE,MEASLES,7,0.42
193640,WA,WASHINGTON,STATE,MEASLES,4,0.24
193641,WA,WASHINGTON,STATE,MEASLES,15,0.91
193642,WA,WASHINGTON,STATE,MEASLES,5,0.3
193643,WA,WASHINGTON,STATE,MEASLES,5,0.3
193644,WA,WASHINGTON,STATE,MEASLES,8,0.48
193645,WA,WASHINGTON,STATE,MEASLES,24,1.45
193646,WA,WASHINGTON,STATE,MEASLES,6,0.36
193647,WA,WASHINGTON,STATE,MEASLES,10,0.6
193648,WA,WASHINGTON,STATE,MEASLES,11,0.67
193649,WA,WASHINGTON,STATE,MEASLES,7,0.42
193650,WA,WASHINGTON,STATE,MEASLES,17,1.03
193701,WA,WASHINGTON,STATE,MEASLES,32,1.9
193702,WA,WASHINGTON,STATE,MEASLES,34,2.02
193703,WA,WASHINGTON,STATE,MEASLES,29,1.73
